distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
3022.97,3.602,141,87,854,254.69,44.97800596989691,-93.2290271949023,6091847648,254.8284331797235,0.13843317972350633,2021-01-11T18:17:32Z
3025.52,3.611,141,87,855,254.69,44.97802818194032,-93.2290354091674,6091847648,254.84520737327188,0.15520737327187817,2021-01-11T18:17:33Z
3028.65,3.611,142,86,856,254.74,44.978055926039815,-93.22902887128294,6091847648,254.86069124423963,0.12069124423962307,2021-01-11T18:17:34Z
3032.1,3.574,143,85,857,254.9,44.9780844245106,-93.22901152074336,6091847648,254.87456221198156,-0.025437788018450647,2021-01-11T18:17:35Z
3035.69,3.574,143,85,858,254.9,44.97811200097203,-93.22898771613836,6091847648,254.8857603686636,-0.01423963133640882,2021-01-11T18:17:36Z
3039.34,3.564,144,85,859,255.04,44.97813974507153,-93.22896307334304,6091847648,254.89493087557602,-0.14506912442396924,2021-01-11T18:17:37Z
3042.79,3.574,144,85,860,255.13,44.97816623188555,-93.2289402745664,6091847648,254.8994930875576,-0.23050691244239374,2021-01-11T18:17:38Z
3046.59,3.583,144,85,861,255.17,44.97819598764181,-93.22891621850432,6091847648,254.90013824884792,-0.2698617511520638,2021-01-11T18:17:39Z
3050.37,3.592,145,85,862,255.23,44.978225491940975,-93.22889274917544,6091847648,254.8942396313364,-0.3357603686635855,2021-01-11T18:17:40Z
3054.27,3.602,144,85,863,255.35,44.97825591824949,-93.22886777110398,6091847648,254.87917050691243,-0.47082949308756383,2021-01-11T18:17:41Z
3057.94,3.602,144,85,864,255.38,44.978284081444144,-93.22884337976576,6091847648,254.8547004608295,-0.5252995391705042,2021-01-11T18:17:42Z
3061.22,3.602,145,85,865,255.42,44.978309562429786,-93.2288223411888,6091847648,254.8232258064516,-0.5967741935483843,2021-01-11T18:17:43Z
3064.57,3.602,145,84,866,255.42,44.978334959596395,-93.22879945859312,6091847648,254.78294930875578,-0.6370506912442124,2021-01-11T18:17:44Z
3068.3,3.602,145,84,867,255.45,44.97836211696267,-93.22877154685555,6091847648,254.73917050691244,-0.7108294930875445,2021-01-11T18:17:45Z
3072.12,3.592,145,85,868,255.41,44.97839086689055,-93.22874497622252,6091847648,254.69092165898618,-0.7190783410138124,2021-01-11T18:17:46Z
3075.87,3.592,144,85,869,255.3,44.97841785661876,-93.2287163939327,6091847648,254.640599078341,-0.6594009216589996,2021-01-11T18:17:47Z
3079.72,3.602,144,85,870,255.3,44.97844669036567,-93.22868923656642,6091847648,254.58926267281106,-0.7107373271889514,2021-01-11T18:17:48Z
3083.73,3.602,145,84,871,255.18,44.97847535647452,-93.22865805588664,6091847648,254.5379262672811,-0.6420737327188988,2021-01-11T18:17:49Z
3087.64,3.611,143,84,872,255,44.97850284911692,-93.22862670756876,6091847648,254.48447004608295,-0.5155299539170528,2021-01-11T18:17:50Z
3091.49,3.611,144,84,873,254.72,44.97853076085448,-93.2285977061838,6091847648,254.42917050691244,-0.290829493087557,2021-01-11T18:17:51Z
3095.16,3.62,144,83,874,254.85,44.97855666093528,-93.22856820188464,6091847648,254.3700460829493,-0.47995391705069324,2021-01-11T18:17:52Z
3098.77,3.62,143,83,875,254.66,44.97857979498803,-93.22853576391935,6091847648,254.30741935483871,-0.3525806451612823,2021-01-11T18:17:53Z
3102.6,3.62,144,82,876,254.28,44.978604605421424,-93.22850198484956,6091847648,254.24147465437787,-0.0385253456221335,2021-01-11T18:17:54Z
3106.29,3.611,144,82,877,254.38,44.97862589545548,-93.22846619412304,6091847648,254.17276497695852,-0.207235023041477,2021-01-11T18:17:55Z
3110.2,3.611,143,82,878,253.74,44.97864500619471,-93.2284243684262,6091847648,254.10069124423964,0.36069124423963217,2021-01-11T18:17:56Z
3113.45,3.611,144,82,879,253.74,44.97867199592292,-93.22839385829866,6091847648,254.02672811059907,0.2867281105990571,2021-01-11T18:17:57Z
3116.73,3.62,144,84,880,253.16,44.978683814406395,-93.22835412807764,6091847648,253.95133640552996,0.791336405529961,2021-01-11T18:17:58Z
3119.99,3.62,143,85,881,253.1,44.97868792153895,-93.22831272147596,6091847648,253.8742396313364,0.7742396313363997,2021-01-11T18:17:59Z
3122.96,3.62,143,86,882,252.97,44.97868440113962,-93.22827483527362,6091847648,253.796866359447,0.8268663594469956,2021-01-11T18:18:00Z
3126.25,3.62,142,87,883,253.25,44.97867241501808,-93.2282364461571,6091847648,253.7199539170507,0.46995391705070233,2021-01-11T18:18:01Z
3129.62,3.62,143,87,884,253.06,44.97865657322109,-93.2281999848783,6091847648,253.64387096774195,0.5838709677419445,2021-01-11T18:18:02Z
3133.22,3.62,143,85,885,253.45,44.97863628901541,-93.2281642779708,6091847648,253.56976958525345,0.11976958525346504,2021-01-11T18:18:03Z
3136.85,3.63,143,84,886,253.24,44.97861667536199,-93.22812748141588,6091847648,253.49875576036865,0.25875576036864345,2021-01-11T18:18:04Z
3140.3,3.639,144,84,887,253.07,44.97859999537468,-93.22809051722288,6091847648,253.4305529953917,0.36055299539171415,2021-01-11T18:18:05Z
3144.02,3.639,144,84,888,253.12,44.97857895679772,-93.228053804487,6091847648,253.36557603686637,0.24557603686636753,2021-01-11T18:18:06Z
3147.9,3.639,143,84,889,253.18,44.97855867259205,-93.2280136551708,6091847648,253.30483870967743,0.1248387096774195,2021-01-11T18:18:07Z
3151.49,3.648,144,84,890,253.05,44.97854123823345,-93.2279753498733,6091847648,253.2479723502304,0.19797235023040116,2021-01-11T18:18:08Z
3155.2,3.658,144,84,891,252.98,44.97852807864547,-93.22793201543392,6091847648,253.1974193548387,0.2174193548387109,2021-01-11T18:18:09Z
3158.94,3.658,144,83,892,253.1,44.97851709835231,-93.22788675315678,6091847648,253.15230414746543,0.05230414746543488,2021-01-11T18:18:10Z
3162.92,3.667,144,83,893,253.02,44.97850335203111,-93.22784006595612,6091847648,253.11410138248849,0.09410138248847488,2021-01-11T18:18:11Z
3166.8,3.667,144,83,894,252.96,44.97848968952894,-93.22779471985996,6091847648,253.08382488479262,0.12382488479261156,2021-01-11T18:18:12Z
3170.58,3.676,145,84,895,253,44.97847602702677,-93.22775088250636,6091847648,253.0616589861751,0.06165898617510379,2021-01-11T18:18:13Z
3174.34,3.686,144,84,896,252.97,44.97846068814397,-93.22770830243826,6091847648,253.04451612903227,0.07451612903227556,2021-01-11T18:18:14Z
3178.14,3.686,144,84,897,253.02,44.97844568453729,-93.22766488417984,6091847648,253.03396313364055,0.013963133640544356,2021-01-11T18:18:15Z
3182.24,3.704,145,84,898,252.99,44.978432105854154,-93.22761652059852,6091847648,253.0258064516129,0.03580645161289908,2021-01-11T18:18:16Z
3186,3.704,145,84,899,252.97,44.97841936536133,-93.22757243178783,6091847648,253.0214746543779,0.05147465437789833,2021-01-11T18:18:17Z
3190.02,3.723,145,84,900,253.03,44.97840955853462,-93.22752331383526,6091847648,253.01917050691245,-0.010829493087555875,2021-01-11T18:18:18Z
3194.13,3.732,144,84,901,253.01,44.97840343974531,-93.2274718489498,6091847648,253.018801843318,0.008801843317996827,2021-01-11T18:18:19Z
3198.45,3.742,144,84,902,252.98,44.97840452939272,-93.22741644456984,6091847648,253.01995391705069,0.03995391705069551,2021-01-11T18:18:20Z
3202.39,3.751,144,84,903,252.98,44.978404361754656,-93.22736657224596,6091847648,253.02506912442396,0.04506912442397493,2021-01-11T18:18:21Z
3206.23,3.76,143,84,904,252.99,44.978407295420766,-93.22731787338851,6091847648,253.03396313364055,0.04396313364054549,2021-01-11T18:18:22Z
3210.03,3.76,143,84,905,253,44.978412156924605,-93.22727009654044,6091847648,253.04741935483872,0.04741935483872339,2021-01-11T18:18:23Z
3213.69,3.76,143,84,906,252.92,44.97841349802911,-93.22722382843494,6091847648,253.06511520737328,0.1451152073732942,2021-01-11T18:18:24Z
3221.43,3.76,143,84,907,252.93,44.978417521342635,-93.22712576016784,6091847648,253.0868202764977,0.15682027649768315,2021-01-11T18:18:25Z
3221.43,3.76,143,84,908,252.93,44.978417521342635,-93.22712576016784,6091847648,253.11221198156682,0.18221198156680884,2021-01-11T18:18:26Z
3225.26,3.76,143,84,909,252.91,44.978422466665506,-93.2270778156817,6091847648,253.1410599078341,0.23105990783409425,2021-01-11T18:18:27Z
3228.97,3.77,143,84,910,252.9,44.97843051329255,-93.22703205049038,6091847648,253.17175115207374,0.27175115207373324,2021-01-11T18:18:28Z
3232.51,3.77,143,84,911,252.93,44.97844367288053,-93.22699123062192,6091847648,253.20327188940092,0.27327188940091673,2021-01-11T18:18:29Z
3236.11,3.77,143,84,912,252.97,44.97846647165716,-93.22695879265666,6091847648,253.23617511520737,0.2661751152073748,2021-01-11T18:18:30Z
3239.94,3.77,143,84,913,252.99,44.978495640680194,-93.2269324734807,6091847648,253.26926267281107,0.27926267281105766,2021-01-11T18:18:31Z
3243.46,3.77,143,84,914,252.99,44.978521624580026,-93.226906824857,6091847648,253.30184331797236,0.31184331797234677,2021-01-11T18:18:32Z
3247.11,3.77,143,84,915,253.04,44.978547440841794,-93.22687824256718,6091847648,253.3342396313364,0.29423963133640996,2021-01-11T18:18:33Z
3250.69,3.76,143,86,916,253.14,44.97857317328453,-93.22685100138187,6091847648,253.3668202764977,0.22682027649770475,2021-01-11T18:18:34Z
3254.17,3.76,143,86,917,253.23,44.97860158793628,-93.2268318068236,6091847648,253.40046082949308,0.17046082949309493,2021-01-11T18:18:35Z
3257.81,3.76,143,86,918,253.28,44.97863285243511,-93.22681814432144,6091847648,253.435668202765,0.1556682027649856,2021-01-11T18:18:36Z
3261,3.76,143,85,919,253.41,44.97866093181074,-93.22680993005632,6091847648,253.4732258064516,0.06322580645161224,2021-01-11T18:18:37Z
3264.05,3.751,142,84,920,253.53,44.97868825681507,-93.22680540382862,6091847648,253.51364055299538,-0.016359447004617778,2021-01-11T18:18:38Z
